Time (ns),Current (nA),Voltage (mV),Energy (uJ)
819288000,162300,3595,1699.4
820281000,162300,3595,1699.8
821139000,162300,3595,1700.6
822132000,162300,3594,1701
823245000,162300,3595,1701.8
824262000,162300,3594,1702.1
825120000,162300,3594,1702.5
826113000,162300,3594,1703.3
826978000,162300,3594,1703.7
828226000,162300,3594,1704.5
829085000,162300,3594,1704.9
830077000,162300,3594,1705.7
830936000,162300,3594,1706.1
831929000,162300,3594,1706.9
833043000,162300,3594,1707.3
834037000,162300,3595,1708.1
834896000,162300,3595,1708.5
835889000,162300,3595,1709.3
836753000,162300,3595,1709.7
838002000,162300,3595,1710.5
838861000,162300,3595,1710.9
839855000,162300,3595,1711.2
840713000,162300,3595,1712.1
841705000,162300,3594,1712.4
842819000,162300,3595,1713.2
843812000,162300,3594,1713.6
844671000,162300,3594,1714
845664000,162300,3594,1714.8
846523000,162300,3594,1715.2
847777000,162300,3593,1716
848636000,162300,3594,1716.4
849629000,162300,3593,1717.2
850488000,162300,3594,1717.6
851482000,162300,3594,1718.4
852596000,162300,3594,1718.7
853590000,162300,3594,1719.6
854450000,162300,3595,1719.9
855443000,162300,3595,1720.3
856303000,162300,3595,1721.1
857557000,162300,3596,1721.5
858415000,162300,3596,1722.3
859407000,162300,3595,1722.7
860265000,162300,3595,1723.5
861259000,162300,3595,1723.9
862372000,162300,3596,1724.7
863365000,162300,3595,1725.1
864224000,162300,3596,1725.5
865216000,162300,3595,1726.3
866075000,162300,3595,1726.6
867335000,162300,3594,1727.4
868194000,162300,3595,1727.8
869187000,162300,3594,1728.6
870046000,162300,3595,1729
871039000,162300,3595,1729.8
872153000,162300,3594,1730.2
873146000,162300,3595,1731
874005000,162300,3595,1731.4
874998000,162300,3595,1732.2
875856000,162300,3596,1732.6
877110000,162300,3596,1733.4
877968000,162300,3596,1733.8
878962000,162300,3596,1734.1
879821000,162300,3596,1735
880813000,162800,3595,1735.3
881927000,162800,3596,1736.1
882920000,162800,3595,1736.5
