Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"798049000","473900","3595","2036.1",""
"799188000","473900","3595","2037.7",""
"800322000","473900","3594","2039.0",""
"801825000","473900","3594","2040.6",""
"803014000","473900","3594","2042.3",""
"804267000","473900","3594","2045.7",""
"805401000","473900","3594","2048.7",""
"806653000","473900","3594","2052.1","0x82D00000A0000E60"
"807728000","473900","3593","2054.2",""
"809043000","473900","3593","2057.6",""
"810394000","473900","3594","2061.4",""
"811528000","473900","3594","2064.0",""
"812781000","473900","3594","2067.4",""
"813855000","473900","3594","2069.9",""
"815166000","473900","3593","2073.3","0xA2D00000A0000E60"
"816299000","561800","3594","2076.3",""
"817553000","561800","3594","2079.7",""
"818685000","561800","3594","2082.3",""
"820193000","561800","3593","2086.1",""
"821384000","561800","3593","2089.0",""
"822637000","561800","3593","2092.5",""
"823770000","561800","3593","2095.4",""
"825027000","561800","3594","2098.8",""
"826102000","561800","3594","2100.9",""
"827293000","561800","3594","2102.2",""
"828547000","561800","3594","2103.8",""
"829686000","561800","3594","2105.1",""
"830938000","561800","3594","2106.8",""
"832012000","561800","3594","2108.0",""
"833203000","561800","3594","2109.7",""
"834455000","561800","3595","2111.3",""
"835588000","561800","3594","2112.6",""
"836842000","561800","3595","2114.2",""
"837916000","561800","3595","2116.3",""
"839233000","561800","3594","2119.7",""
"840365000","561800","3594","2122.7",""
"841619000","561800","3594","2126.1",""
"842752000","561800","3594","2128.7",""
"844255000","561800","3594","2132.5",""
"845446000","563900","3594","2135.5",""
"846579000","563900","3594","2138.4",""
"847832000","563900","3595","2141.8",""
"848971000","563900","3594","2145.7","0x3D05E9EA0000E60"
"850056000","563900","3594","2150.9","0xA2D04B34A0000E60"
"851246000","563900","3594","2153.4",""
"852500000","563900","3595","2156.4",""
"853633000","563900","3594","2158.9",""
"854886000","563900","3595","2161.9",""
"855961000","563900","3594","2164.0",""
"857150000","563900","3595","2166.5",""
"858403000","563900","3595","2169.5",""
"859542000","563900","3595","2172.0",""
"860796000","563900","3595","2175.0",""
"861870000","563900","3595","2178.0",""
"863180000","563900","3595","2181.8",""
"864314000","563900","3595","2185.2",""
"865567000","563900","3595","2189.1",""
"866705000","563900","3595","2192.5",""
"868208000","747800","3596","2196.7",""
"869405000","747800","3596","2200.2",""
"870658000","747800","3595","2204.0",""
"871791000","747800","3595","2207.4",""
"873043000","747800","3595","2211.2",""
"874118000","747800","3596","2214.2",""
"875430000","747800","3596","2218.1",""
"876564000","747800","3596","2221.5",""
"877696000","747800","3596","2224.9",""
"878955000","747800","3596","2228.7",""
"880030000","747800","3597","2231.3",""
"881221000","747800","3597","2234.7",""
"882355000","747800","3596","2238.1",""
"883608000","747800","3596","2241.9",""
"884741000","747800","3596","2245.4",""
"886237000","747800","3596","2250.0",""
"887436000","747800","3596","2253.5",""
"888569000","814200","3596","2256.4",""
"889828000","814200","3596","2260.3",""
"890962000","814200","3596","2263.7",""
"892465000","814200","3596","2268.4",""
"893656000","814200","3596","2271.8",""
"894909000","814200","3596","2275.6","0x82D00000A0000E60"
"896043000","814200","3596","2278.6",""
"897295000","814200","3596","2282.4",""
"898900000","814200","3596","2287.1",""
"900092000","814200","3596","2291.0",""
"901343000","814200","3596","2294.8","0xA2D00000A0000E60"
"902477000","814200","3595","2297.8",""
"903827000","814200","3596","2302.1","0x82D00000A0000E60"
"904901000","814200","3596","2305.0","0xA2D04B34A0000E60"
"906092000","814200","3596","2308.5",""
